lead_id,demo_watched_date,language,watched_percentage
USR1002,04-01-2022,Telugu,42
USR1003,07-01-2022,Telugu,81
USR1004,02-01-2022,Telugu,35
USR1005,03-01-2022,Hindi,38
USR1006,12-01-2022,Hindi,54
USR1007,11-01-2022,English,52
USR1008,08-01-2022,Telugu,41
USR1009,10-01-2022,Telugu,50
USR1010,12-01-2022,Telugu,48
USR1011,17-01-2022,Telugu,44
USR1012,16-01-2022,Telugu,46
USR1013,18-01-2022,Telugu,50
USR1014,18-01-2022,Telugu,51
USR1015,18-01-2022,Hindi,44
USR1016,21-02-2022,English,47
USR1017,19-02-2022,English,42
USR1018,20-02-2022,Hindi,40
USR1019,21-02-2022,Hindi,38
USR1020,21-02-2022,English,36
USR1021,02-01-2022,English,100
USR1022,04-01-2022,Telugu,5
USR1023,01-01-2022,Telugu,52
USR1024,02-01-2022,Telugu,53
USR1025,06-01-2022,English,8
USR1026,10-01-2022,English,10
USR1027,09-01-2022,English,11
USR1028,10-01-2022,Telugu,50
USR1029,10-01-2022,Telugu,14
USR1030,11-01-2022,Telugu,17
USR1031,17-01-2022,English,20
USR1032,16-01-2022,English,23
USR1033,21-01-2022,English,55
USR1034,19-01-2022,English,73
USR1035,17-01-2022,English,26
USR1036,20-02-2022,English,29
USR1037,22-02-2022,English,32
USR1038,21-02-2022,English,53
USR1039,21-02-2022,English,56
USR1040,25-02-2022,English,35
USR1041,03-01-2022,English,38
USR1042,01-01-2022,Hindi,41
USR1043,01-01-2022,English,44
USR1044,03-01-2022,English,59
USR1045,04-01-2022,English,47
USR1046,10-01-2022,English,50
USR1047,08-01-2022,Hindi,55
USR1050,11-01-2022,English,62
USR1051,18-01-2022,English,60
USR1052,17-01-2022,English,65
USR1053,19-01-2022,English,65
USR1055,18-01-2022,English,70
USR1057,23-02-2022,English,74
USR1058,20-02-2022,English,75
USR1062,07-01-2022,English,75
USR1063,01-01-2022,English,68
USR1065,06-01-2022,Hindi,40
USR1067,10-01-2022,English,85
USR1070,11-01-2022,English,71
USR1071,18-01-2022,Hindi,86
USR1072,17-01-2022,Hindi,87
USR1073,19-01-2022,English,88
USR1075,18-01-2022,English,44
USR1077,21-02-2022,English,100
USR1078,22-02-2022,English,89
USR1082,05-01-2022,English,2
USR1083,08-01-2022,English,90
USR1087,10-01-2022,English,74
USR1090,11-01-2022,English,91
USR1091,20-01-2022,English,92
USR1092,21-01-2022,English,77
USR1093,26-01-2022,Telugu,80
USR1095,18-01-2022,Hindi,62
USR1097,23-02-2022,English,63
USR1098,25-02-2022,English,81
USR1102,05-01-2022,English,83
USR1103,01-01-2022,Telugu,41
USR1105,06-01-2022,Hindi,86
USR1107,10-01-2022,English,25
USR1110,13-01-2022,English,2
USR1111,19-01-2022,Telugu,3
USR1112,17-01-2022,Telugu,4
USR1113,19-01-2022,Telugu,30
USR1115,18-01-2022,Telugu,35
USR1117,23-02-2022,Telugu,35
USR1118,21-02-2022,Telugu,8
USR1122,04-01-2022,Telugu,11
USR1123,03-01-2022,Hindi,40
USR1127,12-01-2022,English,14
USR1130,18-01-2022,Hindi,17
USR1131,17-01-2022,English,45
USR1132,16-01-2022,English,20
USR1133,18-01-2022,English,64
USR1135,17-01-2022,Telugu,65
USR1137,22-02-2022,Hindi,23
USR1138,20-02-2022,English,510
USR1142,06-01-2022,English,26
USR1143,01-01-2022,Telugu,55
USR1145,05-01-2022,Telugu,60
USR1147,09-01-2022,Telugu,29
USR1150,13-01-2022,Telugu,70
USR1151,18-01-2022,Telugu,37
USR1152,16-01-2022,English,66
USR1153,20-01-2022,Telugu,67
USR1155,17-01-2022,Hindi,41
USR1157,22-02-2022,English,68
USR1158,20-02-2022,English,45
USR1162,06-01-2022,Telugu,49
USR1163,08-01-2022,Telugu,53
USR1167,10-01-2022,Telugu,57
USR1170,12-01-2022,Telugu,65
USR1171,18-01-2022,Telugu,70
USR1172,20-01-2022,Telugu,69
USR1173,19-01-2022,Telugu,70
USR1175,17-01-2022,Hindi,61
USR1177,23-02-2022,English,65
USR1178,25-02-2022,Hindi,35
USR1182,06-01-2022,Hindi,60
USR1183,03-01-2022,English,70
USR1185,05-01-2022,English,75
USR1187,10-01-2022,Telugu,80
USR1190,11-01-2022,Telugu,85
USR1191,17-01-2022,Telugu,85
USR1192,17-01-2022,English,90
USR1193,20-01-2022,English,95
USR1195,17-01-2022,English,100
USR1197,22-02-2022,Telugu,90
USR1198,21-02-2022,Telugu,11
USR1202,03-01-2022,Telugu,15
USR1203,03-01-2022,English,12
USR1207,12-01-2022,English,13
USR1210,16-01-2022,English,71
USR1211,26-01-2022,English,72
USR1212,26-01-2022,English,19
USR1213,20-01-2022,Telugu,233
USR1215,17-01-2022,Telugu,27
USR1217,22-02-2022,English,14
USR1218,21-02-2022,Telugu,85
USR1222,06-01-2022,English,25
USR1223,03-01-2022,Telugu,23
USR1225,05-01-2022,Hindi,21
USR1227,09-01-2022,English,73
USR1230,11-01-2022,English,74
USR1231,19-01-2022,English,19
USR1232,20-01-2022,Telugu,75
USR1233,22-01-2022,English,17
USR1235,18-01-2022,English,80
USR1237,21-02-2022,English,80
USR1238,22-02-2022,Telugu,80
USR1242,03-01-2022,Telugu,16
USR1243,04-01-2022,Telugu,17
USR1247,10-01-2022,Telugu,76
USR1250,11-01-2022,Telugu,77
USR1251,17-01-2022,Telugu,80
USR1252,17-01-2022,Telugu,18
USR1253,19-01-2022,English,80
USR1255,18-01-2022,English,80
USR1257,25-02-2022,English,19
USR1258,26-02-2022,English,80
USR1262,07-01-2022,English,80
USR1263,09-01-2022,English,80
USR1265,08-01-2022,English,20
USR1267,14-01-2022,Telugu,79
USR1270,13-01-2022,Telugu,78
USR1271,19-01-2022,Telugu,77
USR1272,17-01-2022,English,76
USR1273,19-01-2022,English,91
USR1275,18-01-2022,English,75
USR1277,21-02-2022,Telugu,74
USR1278,21-02-2022,English,73
USR1282,05-01-2022,Telugu,72
USR1283,09-01-2022,English,78
USR1287,10-01-2022,English,79
USR1290,12-01-2022,English,71
USR1291,17-01-2022,English,22
USR1292,17-01-2022,English,70
USR1293,21-01-2022,English,23
USR1295,18-01-2022,English,24
USR1297,22-02-2022,English,69
USR1298,21-02-2022,English,12
USR1302,04-01-2022,English,20
USR1303,03-01-2022,English,80
USR1305,06-01-2022,English,81
USR1307,10-01-2022,English,28
USR1310,12-01-2022,English,82
USR1311,18-01-2022,English,36
USR1312,17-01-2022,English,44
USR1313,21-01-2022,English,52
USR1314,19-01-2022,English,60
USR1315,18-01-2022,English,44
USR1317,25-02-2022,English,48
USR1318,25-02-2022,English,83
USR1319,28-02-2022,English,84
USR1343,25-01-2022,English,68
USR1348,27-02-2022,English,72
