Company,Ticker,Country,Sector,ProfitMargin,ROE,Revenue_billion,MarketCap_billion
Apple Inc.,AAPL,United States,Technology,0.24295999,1.49814,408.62,3809.38
Microsoft Corporation,MSFT,United States,Technology,0.36146,0.33280998,281.72,3928.95
Alphabet Inc.,GOOGL,United States,Communication Services,0.31118,0.34829,371.4,3034.56
"Amazon.com, Inc.",AMZN,United States,Consumer Cyclical,0.105399996,0.2477,670.04,2355.88
"Meta Platforms, Inc.",META,United States,Communication Services,0.39992002,0.40647998,178.8,1797.84
"Tesla, Inc.",TSLA,United States,Consumer Cyclical,0.063439995,0.08177,92.72,1507.12
NVIDIA Corporation,NVDA,United States,Technology,0.52414,1.09417,165.22,4517.34
JPMorgan Chase & Co.,JPM,United States,Financial Services,0.34524,0.16211,163.75,850.17
Visa Inc.,V,United States,Financial Services,0.52158,0.51755,38.89,677.93
The Procter & Gamble Company,PG,United States,Consumer Defensive,0.18952999,0.31242,84.28,352.03
Johnson & Johnson,JNJ,United States,Healthcare,0.25004998,0.30212,90.63,453.15
Exxon Mobil Corporation,XOM,United States,Energy,0.09404001,0.118310004,329.82,486.86
Walmart Inc.,WMT,United States,Consumer Defensive,0.03079,0.23375,693.15,818.81
The Walt Disney Company,DIS,United States,Communication Services,0.12219,0.1146,94.54,202.72
Bank of America Corporation,BAC,United States,Financial Services,0.28514,0.0946,98.46,373.24
"Netflix, Inc.",NFLX,United States,Communication Services,0.24579,0.43548,41.69,494.32
Pfizer Inc.,PFE,United States,Healthcare,0.16844,0.12168,63.83,150.27
The Coca-Cola Company,KO,United States,Consumer Defensive,0.25887,0.42369998,47.06,284.47
Intel Corporation,INTC,United States,Technology,-0.38636002,-0.18616,53.07,174.07
"PepsiCo, Inc.",PEP,United States,Consumer Defensive,0.08229,0.39859,91.75,191.26
Shell plc,SHEL.L,United Kingdom,Energy,0.05,0.07535,272.01,158.04
HSBC Holdings plc,HSBA.L,United Kingdom,Financial Services,0.33668,0.101339996,56.21,182.25
BP p.l.c.,BP.L,United Kingdom,Energy,0.0030500002,0.020510001,184.81,66.76
Unilever PLC,ULVR.L,United Kingdom,Consumer Defensive,0.092939995,0.287,59.77,106.34
Nestlé S.A.,NESN.SW,Switzerland,Consumer Defensive,0.11337,0.33763,90.9,191.33
Novartis AG,NOVN.SW,Switzerland,Healthcare,0.24742001,0.32488,55.19,204.81
Siemens Aktiengesellschaft,SIE.DE,Germany,Industrials,0.12645,0.14300999,78.3,190.52
Bayerische Motoren Werke Aktiengesellschaft,BMW.DE,Germany,Consumer Cyclical,0.04201,0.06442,136.51,56.19
Volkswagen AG,VOW3.DE,Germany,Consumer Cyclical,0.02786,0.04915,324.22,46.89
Reliance Industries Limited,RELIANCE.NS,India,Energy,0.083459996,,9765.41,18705.94
Tata Consultancy Services Limited,TCS.NS,India,Technology,0.19236,0.51589,2561.48,10724.01
Infosys Limited,INFY.NS,India,Technology,0.16427,0.30365,19.5,6064.99
HDFC Bank Limited,HDFCBANK.NS,India,Financial Services,0.25794,0.13925,2736.06,15085.58
ICICI Bank Limited,ICICIBANK.NS,India,Financial Services,0.2574,0.17884001,2054.85,9827.7
ITC Limited,ITC.NS,India,Consumer Defensive,0.44154,,790.4,5010.85
Larsen & Toubro Limited,LT.NS,India,Industrials,0.05903,,2688.02,5134.49
State Bank of India,SBIN.NS,India,Financial Services,0.22672,0.16584,3503.84,8012.64
Bharti Airtel Limited,BHARTIARTL.NS,India,Communication Services,0.19215,0.29464,1839.41,11525.1
Bajaj Finance Limited,BAJFINANCE.NS,India,Financial Services,0.44939,0.20079,387.76,6348.75
Sony Group Corporation,SONY,Japan,Technology,0.08813,0.1444,13013.32,179.91
Toyota Motor Corporation,TM,Japan,Consumer Cyclical,0.088190004,0.11652,48452.15,259.61
Alibaba Group Holding Limited,BABA,Hong Kong,Consumer Cyclical,0.14626001,0.13447,1000.76,434.16
Taiwan Semiconductor Manufacturing Company Limited,TSM,Taiwan,Technology,0.42481998,0.34203997,3401.2,1568.4
Novo Nordisk A/S,NVO,Denmark,Healthcare,0.35606,0.79168,311.94,269.4
Rio Tinto Group,RIO,United Kingdom,Basic Materials,0.19118,0.17158002,53.73,107.73
BHP Group Limited,BHP,Australia,Basic Materials,0.17593999,0.21992001,51.26,142.11
Shopify Inc.,SHOP,Canada,Technology,0.23417,0.22023001,10.01,213.58
The Toronto-Dominion Bank,TD,Canada,Financial Services,0.32935002,0.17633,63.44,138.68
Royal Bank of Canada,RY,Canada,Financial Services,0.31768999,0.14729,60.27,207.36
